2026-07-02T12:16:53 [INFO] server: Log sanitization filter attached to all handlers
2026-07-02T12:16:54 [WARNING] cache_manager: Redis not available: Error 61 connecting to localhost:6379. Connection refused.. Falling back to in-memory cache.
2026-07-02T12:16:54 [INFO] server: APM & Rate Limiting middleware activated
2026-07-02T12:16:54 [INFO] server: Entitlement enforcement middleware activated
2026-07-02T12:16:54 [INFO] server: Error response normalizer middleware activated
2026-07-02T12:16:54 [INFO] server: Upload size-limit middleware activated
2026-07-02T12:16:54 [INFO] server: Static disconnect silencer middleware activated
2026-07-02T12:16:54 [INFO] server: PII Masking: application-layer masking active (middleware bypassed)
2026-07-02T12:16:54 [INFO] server:   ✅ AI Intelligence endpoints loaded
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.auth
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.db_admin
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.housekeeping
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.departments
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.pms
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.pms_rooms
2026-07-02T12:16:54 [WARNING] core.crypto.keys: CM_MASTER_KEY_CURRENT not set — using dev fallback. NOT SAFE FOR PRODUCTION.
2026-07-02T12:16:54 [INFO] core.crypto.keys: KeyRing loaded: kid=v1 has_previous=False env=development
2026-07-02T12:16:54 [INFO] core.crypto.service: CredentialEncryptionService initialized: v2=False bypass=False kid=v1
2026-07-02T12:16:54 [INFO] security.field_encryption: FieldEncryptionService initialized: crypto_health={'v2_enabled': False, 'bypass_active': False, 'current_kid': 'v1', 'has_previous_key': False}
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.pms_guests
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.shift_handover
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.early_late_pricing
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.eod_report
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.no_show_risk
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.walkin
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.room_map
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.pms_bookings
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.pms_dashboard
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.pms_analytics
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.pms_services
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.pms_room_queue
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.pms_room_details
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.pms_reservations
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.pms_availability
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.reservation_detail
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.vcc_router
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.payments_router
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.hotel_services
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.finance
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.finance.folio_einvoice_public
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.reports
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.pms_hardening
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.revenue_management
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.displacement_analysis
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.travel_agent_arap
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.event_system
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.guest_journey
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.platform_scaling
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.enterprise_live
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.data_intelligence
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.messaging
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.ml_scheduler
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.revenue_autopilot_v2
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.websocket_health
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.analytics_export
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.data_pipeline
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.event_bus
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.observability
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.security_hardening
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.runtime_infrastructure
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.infra_hardening
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.production_golive
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.report_builder
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.guest_messaging
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.mailing
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.marketplace
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.integrations_afsadakat
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.pms_outbound
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.onboarding
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.security_2fa
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.pci_compliance
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ routers.xchange
2026-07-02T12:16:54 [INFO] bootstrap.router_registry:   ✅ domains.spa.router
2026-07-02T12:16:55 [INFO] bootstrap.router_registry:   ✅ domains.golf.router
2026-07-02T12:16:55 [INFO] bootstrap.router_registry:   ✅ routers.mice
